,模型,窗口长度,mae,mse,rmse,R2,mean_n,var_n
0,GRU+GRUCNN+LSTM+LSTMCNN+,2,2.4725340171221895,19.515565603153455,4.417642539087273,0.8966174485218744,-0.14127939477646606,19.495605735765054
1,GRU+GRUCNN+LSTM+LSTMCNN+,3,2.4798901457779943,19.868389374029483,4.457397152378222,0.8947561826001127,-0.11855795959792309,19.854333384245464
2,GRU+GRUCNN+LSTM+LSTMCNN+,4,2.4676284988262775,19.67729136928629,4.435909305800367,0.8957758159205136,-0.1429477526739102,19.65685730929177
3,GRU+GRUCNN+LSTM+LSTMCNN+,6,2.453033414516512,19.096310630307816,4.369932565876482,0.8988770124370683,-0.11540515847121047,19.08299227970605
4,GRU+GRUCNN+LSTM+LSTMCNN+,8,2.4602531897890096,19.242536389098884,4.386631553834774,0.8981330459330572,-0.11168111082259259,19.230063718584315
5,GRU+GRUCNN+LSTM+LSTMCNN+,10,2.438301307580185,19.103558149520502,4.370761735615487,0.8988886729620585,-0.1069905390978537,19.09211117406405
6,GRU+GRUCNN+LSTM+LSTMCNN+,12,2.4359653224940487,19.1933444887744,4.381020941375925,0.8984703464224297,-0.09622283822041147,19.184085654179203
7,GRU+GRUCNN+LSTM+LSTMCNN+,14,2.441160622724658,19.667712698113668,4.434829500455871,0.896018143265009,-0.10213435570102646,19.657281271499205
8,GRU+GRUCNN+LSTM+LSTMCNN+,16,2.4232540242042253,19.39326363537694,4.403778336312687,0.8975257285114339,-0.10125082907013472,19.383011904989548
9,GRU+GRUCNN+LSTM+LSTMCNN+,18,2.4500786279546496,19.894719599642833,4.460349717190664,0.8949316894181795,-0.10035066626748657,19.884649343422506
10,GRU+GRUCNN+LSTM+LSTMCNN+,20,2.4583763809016683,19.979738899154718,4.469870121061094,0.8945387910380984,-0.09163464966352536,19.971341990135755
11,GRU+GRUCNN+LSTM+LSTMCNN+,22,2.451196192501776,19.903406424415703,4.461323393839064,0.8949980436796281,-0.09711366266374966,19.893975360939734
12,GRU+GRUCNN+LSTM+LSTMCNN+,24,2.455644698507876,19.85361752653261,4.455739840535196,0.8953128141918583,-0.0997848113418054,19.843660517958092
13,GRU+GRUCNN+LSTM+LSTMCNN+,26,2.4668020422760857,20.053334093558327,4.478094917881746,0.894315404591508,-0.07391911293285718,20.04787005830154
14,GRU+GRUCNN+LSTM+LSTMCNN+,28,2.465616978610128,20.04817053843651,4.477518345963142,0.8943954182505198,-0.06231137195247937,20.04428783136191
15,GRU+GRUCNN+LSTM+LSTMCNN+,30,2.477148748462573,20.258589517154526,4.500954289609541,0.8933413716268943,-0.0635168936031338,20.254555121381532
16,GRU+GRUCNN+LSTM+LSTMCNN+,32,2.4847055921054766,20.10584854024097,4.4839545649171075,0.8942001892964079,-0.07063192621403942,20.100859671240265
17,GRU+GRUCNN+LSTM+LSTMCNN+,34,2.488788136886799,20.157474943891582,4.4897076679770125,0.8939756726872988,-0.06552752159301693,20.153181087805457
18,GRU+GRUCNN+LSTM+LSTMCNN+,36,2.4825915130243708,20.22882801334053,4.497646941828641,0.8936217444984986,-0.0562036806118689,20.225669159626207
19,GRU+GRUCNN+LSTM+LSTMCNN+,38,2.482111565822702,20.313478165899706,4.507047610786878,0.8932124795348179,-0.0623009718124334,20.309596754810933
20,GRU+GRUCNN+LSTM+LSTMCNN+,40,2.4852547457015883,20.37648194120533,4.514031672596608,0.8929173054338354,-0.06500548256812082,20.372256228441415
