,模型,ζ,mae,mse,rmse,R2,mean_n,var_n
0,GRU+GRUCNN+LSTM+LSTMCNN+,5,2.4652847636299975,19.645656738541327,4.43234212787566,0.8959503938099554,-0.09994700570295253,19.63566733459234
1,GRU+GRUCNN+LSTM+LSTMCNN+,10,2.4490119018275935,19.251335581019095,4.387634394638995,0.8981065164607338,-0.11473045039488716,19.238172504771285
2,GRU+GRUCNN+LSTM+LSTMCNN+,15,2.430854707517978,19.522572334998518,4.418435507620148,0.8968146295723328,-0.11185385083136007,19.510061051052713
3,GRU+GRUCNN+LSTM+LSTMCNN+,20,2.4479006738774656,19.93651444409445,4.465032412434925,0.8947669473373566,-0.09070142154731535,19.928287696223745
4,GRU+GRUCNN+LSTM+LSTMCNN+,5,2.464127865729344,19.78227183046026,4.447726591244145,0.8952268371122608,-0.09430287909826447,19.77337879745404
5,GRU+GRUCNN+LSTM+LSTMCNN+,10,2.4155252123564686,18.92788121840247,4.35061848688235,0.899818495956093,-0.133697003308041,18.910006329708914
6,GRU+GRUCNN+LSTM+LSTMCNN+,15,2.398682388139953,19.249177745821296,4.387388488135202,0.8982596400695714,-0.13995155405063558,19.229591308340105
7,GRU+GRUCNN+LSTM+LSTMCNN+,20,2.398050116128768,19.362813417196303,4.400319694885396,0.8977951752929243,-0.159328951172963,19.33742770251443
8,GRU+GRUCNN+LSTM+LSTMCNN+,5,2.4588795234474357,19.684347775825437,4.436704607681858,0.8957454738499829,-0.10411176188951507,19.6735085168617
9,GRU+GRUCNN+LSTM+LSTMCNN+,10,2.410703348461902,18.896652294567176,4.347027984102147,0.8999837844278131,-0.14469812239480173,18.8757147479426
10,GRU+GRUCNN+LSTM+LSTMCNN+,15,2.39656045360437,19.36705958711659,4.400802152689506,0.8976365827566299,-0.15472553830438043,19.34311959491301
11,GRU+GRUCNN+LSTM+LSTMCNN+,20,2.393570279913367,19.387279439592028,4.40309884508536,0.8976660336503149,-0.17342866573055782,19.35720193749495
12,GRU+GRUCNN+LSTM+LSTMCNN+,5,2.4301455713873192,19.350133939300786,4.398878713865703,0.8975155759410691,-0.11283336255471324,19.33740257159538
13,GRU+GRUCNN+LSTM+LSTMCNN+,10,2.387421473470451,18.746962797405853,4.32977629877178,0.9007760611117253,-0.15782970621721423,18.722052581241243
14,GRU+GRUCNN+LSTM+LSTMCNN+,15,2.381954946513668,19.306456069174413,4.393911249578718,0.8979568989701276,-0.15873000663448703,19.281260854168227
15,GRU+GRUCNN+LSTM+LSTMCNN+,20,2.378416139288223,19.173409458708964,4.378745192256448,0.8987949266182577,-0.17643539180613363,19.142280011227182
16,GRU+GRUCNN+LSTM+LSTMCNN+,5,2.418659778576386,19.301173121296507,4.393310041562797,0.8977748879050257,-0.12134482858237915,19.286448553872823
17,GRU+GRUCNN+LSTM+LSTMCNN+,10,2.3800505003311825,18.906965551968007,4.348214064644012,0.8999291984112334,-0.15183887056528936,18.883910509353466
18,GRU+GRUCNN+LSTM+LSTMCNN+,15,2.373554387261941,19.274459819826497,4.390268763962691,0.8981260132028531,-0.16192494637625043,19.248240131567545
19,GRU+GRUCNN+LSTM+LSTMCNN+,20,2.37538122900465,19.18142743448161,4.3796606528909985,0.8987526044726741,-0.17390630020235573,19.151184033231537
20,GRU+GRUCNN+LSTM+LSTMCNN+,5,2.410962096205314,19.257119230998963,4.388293430366635,0.8980082112292395,-0.12353211115194677,19.241859048513305
21,GRU+GRUCNN+LSTM+LSTMCNN+,10,2.3723792982287235,18.832247417323295,4.3396137405676205,0.9003246666108534,-0.1520118100548188,18.809139826927154
22,GRU+GRUCNN+LSTM+LSTMCNN+,15,2.37530808217562,19.27909733273919,4.390796890399189,0.8981015019099995,-0.1627240873720124,19.25261820412814
23,GRU+GRUCNN+LSTM+LSTMCNN+,20,2.3778034622961055,19.196063666298294,4.381331266441547,0.8986753484729924,-0.1731618005161414,19.1660786571403
24,GRU+GRUCNN+LSTM+LSTMCNN+,5,2.4036756543687203,19.203129848589292,4.382137588961498,0.8982941560593326,-0.12609037501779322,19.187231065917167
25,GRU+GRUCNN+LSTM+LSTMCNN+,10,2.3743153469114966,18.848202734372734,4.34145168513629,0.9002402182966937,-0.15554458272746347,18.824008617156874
26,GRU+GRUCNN+LSTM+LSTMCNN+,15,2.3750297548936623,19.270230452406715,4.3897870623080015,0.8981483672674916,-0.16045266721489418,19.244485393990338
27,GRU+GRUCNN+LSTM+LSTMCNN+,20,2.3787143723065363,19.197884590711524,4.381539066436761,0.8986657368914288,-0.17183700334202984,19.16835663499396
28,GRU+GRUCNN+LSTM+LSTMCNN+,5,2.3974071121425045,19.150030121447,4.3760747390152055,0.8985753889939951,-0.1309924741208927,19.132871093170685
29,GRU+GRUCNN+LSTM+LSTMCNN+,10,2.3737425027789336,18.76644434259452,4.332025431896092,0.9006729491746003,-0.15476391632549155,18.74249247279812
30,GRU+GRUCNN+LSTM+LSTMCNN+,15,2.3769353196096747,19.266230990613252,4.389331497006492,0.8981695061799048,-0.15824745600820758,19.241188733280186
31,GRU+GRUCNN+LSTM+LSTMCNN+,20,2.3788896409084868,19.17396132424656,4.378808208205351,0.8987920136469184,-0.16986777071708917,19.145106264718166
