,????,????
0,2.663093583,1.660000012
1,2.291243104,3.00299986
2,3.463357865,4.127000103
3,4.449797989,0.740999927
4,1.283584457,0.652000003
5,1.541792681,0.563000002
6,0.583747266,3.781000011
7,3.578482904,12.5309999
8,11.54233437,26.05699886
9,24.23056625,23.84500063
10,23.94714609,23.5930008
11,26.06746413,15.62699991
12,18.29615529,12.8839994
13,14.94399385,8.608000139
14,8.103287885,11.50300014
15,10.26286418,14.42399973
16,11.75038618,16.00399969
17,14.5212373,18.04899964
18,18.30793424,12.12400007
19,13.31880695,13.92000007
20,16.16835103,17.7770006
21,17.64010773,14.19900005
22,14.51389445,17.41700014
23,17.5980518,8.933000144
24,9.272521632,6.347000167
25,8.341476374,7.764999804
26,6.926416572,9.432000002
27,9.318285752,16.65299974
28,15.20355466,18.41799974
29,17.67869566,16.76700013
30,18.42192973,17.78100044
31,19.12331251,18.7470002
32,20.13815469,14.03100058
33,14.86815739,8.439000088
34,9.472547417,4.151000073
35,4.508097459,2.109000011
36,1.285425377,0.790999939
37,0.380722213,3.943000033
38,2.628173396,3.355000021
39,1.970426451,3.021000067
40,3.202494721,4.331999955
41,4.666394502,8.031000305
42,8.619802368,10.22099941
43,10.4201006,5.714000098
44,6.908330278,3.875999928
45,5.560319906,3.875999928
46,4.07167233,6.0340003
47,5.786872214,6.015999787
48,5.238735207,7.548999774
49,7.629340344,6.849999866
50,6.922139168,5.686999941
51,6.695288465,5.245000278
52,6.119272048,5.128999967
53,5.513305835,5.904999891
54,5.680652153,8.22499998
55,7.715548329,9.510999939
56,9.318511846,8.40900005
57,8.951172219,9.29599987
58,10.16919141,6.005000223
59,6.827122095,9.549000273
60,10.21725691,10.07500029
61,9.616469416,10.55699959
62,10.94243532,6.678999894
63,7.088065812,4.23999992
64,5.644973418,1.292999985
65,1.74977679,0.49650003
66,0.83818695,-0.361
67,0.380722213,-0.1375
68,0.380722213,0.025000003
69,0.380722213,0.995999945
70,1.358421875,1.215999969
71,1.599981861,3.600000128
72,4.258024023,5.842999894
73,6.179187569,4.592999736
74,5.42745139,2.749000109
75,3.991391806,1.971999918
76,2.801359863,1.110999989
77,1.410738432,0.648999968
78,0.682014516,0.141000007
79,0.380722213,-0.140499996
80,0.380722213,-0.38349999
81,0.380722213,-0.300000002
82,0.380722213,-0.400000008
83,0.380722213,-0.400000008
84,0.380722213,-0.400000008
85,0.380722213,-0.400000008
86,0.380722213,-0.400000008
87,0.380722213,-0.26400001
88,0.380722213,-0.078499999
89,0.380722213,0.243000029
90,0.380722213,0.628999994
91,0.550675352,0.578999982
92,0.577435629,0.331499973
93,0.501118183,0.083999965
94,0.380722213,-0.058000006
95,0.380722213,-0.123999998
96,0.380722213,-3.56E-09
97,0.380722213,-0.065500015
98,0.380722213,-0.168499998
99,0.380722213,-0.176000008
