,????,????
0,3.701427793,1.660000012
1,2.978427609,3.00299986
2,4.227383079,4.127000103
3,5.329019624,0.740999927
4,1.98980865,0.652000003
5,2.0147951,0.563000002
6,2.000650132,3.781000011
7,5.211145613,12.5309999
8,15.08195408,26.05699886
9,30.58653773,23.84500063
10,24.00162923,23.5930008
11,23.99841612,15.62699991
12,14.59879918,12.8839994
13,12.90806708,8.608000139
14,8.659431315,11.50300014
15,12.29291128,14.42399973
16,15.41064573,16.00399969
17,16.61687617,18.04899964
18,19.02214127,12.12400007
19,11.50529172,13.92000007
20,14.30232317,17.7770006
21,18.94169715,14.19900005
22,13.60180433,17.41700014
23,18.10958792,8.933000144
24,8.15879059,6.347000167
25,6.317821787,7.764999804
26,8.211801973,9.432000002
27,9.850663579,16.65299974
28,18.524634,18.41799974
29,19.09475236,16.76700013
30,16.31853994,17.78100044
31,18.06480538,18.7470002
32,19.11237054,14.03100058
33,13.0734919,8.439000088
34,7.800253923,4.151000073
35,4.239896983,2.109000011
36,2.506944432,0.790999939
37,1.487022177,3.943000033
38,4.761547599,3.355000021
39,3.750501218,3.021000067
40,3.531700442,4.331999955
41,5.037311807,8.031000305
42,8.902376356,10.22099941
43,10.76656483,5.714000098
44,5.628601517,3.875999928
45,4.339963488,3.875999928
46,4.586933799,6.0340003
47,6.471856132,6.015999787
48,6.556564789,7.548999774
49,8.163122527,6.849999866
50,7.309807648,5.686999941
51,6.195093189,5.245000278
52,7.217206534,5.128999967
53,5.735885261,5.904999891
54,6.714951903,8.22499998
55,9.10539038,9.510999939
56,10.09498357,8.40900005
57,8.514318186,9.29599987
58,9.813200601,6.005000223
59,6.196979757,9.549000273
60,10.45968114,10.07500029
61,10.35749523,10.55699959
62,10.72706149,6.678999894
63,6.419330025,4.23999992
64,4.523974894,1.292999985
65,1.828702741,0.49650003
66,0.986523298,-0.361
67,0.520538983,-0.1375
68,0.799761388,0.025000003
69,0.835515794,0.995999945
70,1.654885784,1.215999969
71,1.940101058,3.600000128
72,4.318657653,5.842999894
73,6.453016191,4.592999736
74,4.993997958,2.749000109
75,3.205238179,1.971999918
76,2.719706844,1.110999989
77,2.050869346,0.648999968
78,1.729789989,0.141000007
79,1.417816736,-0.140499996
80,1.136607431,-0.38349999
81,0.933361186,-0.300000002
82,1.027438039,-0.400000008
83,0.787279039,-0.400000008
84,0.652138554,-0.400000008
85,0.938106096,-0.400000008
86,0.996110541,-0.400000008
87,0.937058956,-0.26400001
88,0.965519227,-0.078499999
89,1.21941313,0.243000029
90,1.50555591,0.628999994
91,1.704841987,0.578999982
92,1.688178738,0.331499973
93,1.48907035,0.083999965
94,1.210519947,-0.058000006
95,1.094931997,-0.123999998
96,1.025178937,-3.56E-09
97,1.094430179,-0.065500015
98,1.025833935,-0.168499998
99,0.981305367,-0.176000008
